"","year","mo","data-type","region","extent","area"
"448",2017,10,"Goddard","N",6.77,5.3
"449",2018,10,"Goddard","N",6.13,4.59
"450",2019,10,"Goddard","N",5.73,4.53
"451",2020,10,"Goddard","N",5.33,4.11
"452",2021,10,"Goddard","N",6.82,5.43
"453",2022,10,"Goddard","N",6.66,5.25
"454",2023,10,"NRTSI-G","N",6.37,4.86
"455",1978,12,"Goddard","N",13.67,10.9
"456",1979,12,"Goddard","N",13.34,10.63
"457",1980,12,"Goddard","N",13.59,10.78
"458",1981,12,"Goddard","N",13.34,10.54
"459",1982,12,"Goddard","N",13.64,10.88
"460",1983,12,"Goddard","N",13.3,10.63
"461",1984,12,"Goddard","N",12.99,10.27
"462",1985,12,"Goddard","N",13.05,10.24
"463",1986,12,"Goddard","N",13.22,10.53
"464",1987,12,"-9999","N",-9999,-9999
"465",1988,12,"Goddard","N",13.63,11.99
"466",1989,12,"Goddard","N",13.39,11.61
"467",1990,12,"Goddard","N",13.11,11.47
"468",1991,12,"Goddard","N",12.95,11.19
"469",1992,12,"Goddard","N",13.41,11.72
"470",1993,12,"Goddard","N",13.32,11.48
"471",1994,12,"Goddard","N",13.27,11.49
"472",1995,12,"Goddard","N",12.92,11.09
"473",1996,12,"Goddard","N",12.86,11.03
"474",1997,12,"Goddard","N",13.08,11.24
"475",1998,12,"Goddard","N",12.76,10.91
"476",1999,12,"Goddard","N",12.64,10.99
"477",2000,12,"Goddard","N",12.64,10.96
"478",2001,12,"Goddard","N",12.49,10.55
"479",2002,12,"Goddard","N",12.61,10.64
"480",2003,12,"Goddard","N",12.59,10.8
"481",2004,12,"Goddard","N",12.55,10.98
"482",2005,12,"Goddard","N",12.23,10.56
"483",2006,12,"Goddard","N",11.95,10.17
"484",2007,12,"Goddard","N",12.03,10.18
"485",2008,12,"Goddard","N",12.36,10.97
"486",2009,12,"Goddard","N",12.2,10.59
"487",2010,12,"Goddard","N",11.83,10.43
"488",2011,12,"Goddard","N",12.15,10.63
"489",2012,12,"Goddard","N",12.01,10.45
"490",2013,12,"Goddard","N",12.18,10.87
"491",2014,12,"Goddard","N",12.35,10.89
"492",2015,12,"Goddard","N",12.04,10.64
"493",2016,12,"Goddard","N",11.46,9.62
"494",2017,12,"Goddard","N",11.74,10.26
"495",2018,12,"Goddard","N",11.86,10.45
"496",2019,12,"Goddard","N",11.9,10.52
"497",2020,12,"Goddard","N",11.73,10.16
"498",2021,12,"Goddard","N",12.15,10.74
"499",2022,12,"Goddard","N",11.89,10.27
"500",2023,12,"NRTSI-G","N",12,10.31
