Row,Analysis,Date,Identifier 1,Identifier 2,Comment,Amount,Gasconfiguration,Peak Nr,Is Ref _,Rt,Width,BGD 28,Ampl  28,rArea 28,Area 28,BGD 29,Ampl  29,rArea 29,Area 29,rR 29N2/28N2,R 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,R 15N/14N,d 15N/14N,BGD 44,Ampl  44,rArea 44,Area 44,BGD 45,Ampl  45,rArea 45,Area 45,BGD 46,Ampl  46,Area 46,rArea 46,rR 45CO2/44CO2,R 45CO2/44CO2,rd 45CO2/44CO2,d 45CO2/44CO2,rR 46CO2/44CO2,R 46CO2/44CO2,rd 46CO2/44CO2,d 46CO2/44CO2,R 13C/12C,d 13C/12C,R 18O/16O,d 18O/16O
22,46773,11/09/23,bgl_3m_02,B10,SAMPLE,0.47,N2,1,1,47.4,26.8,30.7,3426,63032,63.032,21.1,2258,41545,0.457,0.659116,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
22,46773,11/09/23,bgl_3m_02,B10,SAMPLE,0.47,N2,2,0,215.1,99.1,33.6,4046,89861,89.861,22.7,2700,59916,0.659,0.6667567,0.0074417,11.592,11.592,0.0037208,11.592,,,,,,,,,,,,,,,,,,,,,,,,
22,46773,11/09/23,bgl_3m_02,B10,SAMPLE,0.47,CO2,3,0,369.7,124.6,,,,,,,,,,,,,,,1.9,5152,132984,132.984,1.4,5426,139594,1.536,4.3,7308,0.567,188996,1.0497074,0.011841,-12.001,-12.001,1.4212007,0.0039831,-9.065,-9.065,0.0110401,-12.528,0.0019871,-9.047
22,46773,11/09/23,bgl_3m_02,B10,SAMPLE,0.47,CO2,4,1,525.4,42.6,,,,,,,,,,,,,,,5.8,5400,100137,100.137,5.5,5733,106392,1.17,9.9,7741,0.431,143617,1.0624576,0.0119849,0,0,1.4342017,0.0040196,0,0,0.0111802,0,0.0020052,0
23,46774,11/09/23,bgl_3m_03,B11,SAMPLE,0.43,N2,1,1,47.4,27,30.8,3431,63176,63.176,21.1,2261,41640,0.458,0.659111,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
23,46774,11/09/23,bgl_3m_03,B11,SAMPLE,0.43,N2,2,0,214.4,100.7,33.9,3788,84778,84.778,22.9,2527,56511,0.622,0.6665814,0.0074398,11.334,11.334,0.0037199,11.334,,,,,,,,,,,,,,,,,,,,,,,,
23,46774,11/09/23,bgl_3m_03,B11,SAMPLE,0.43,CO2,3,0,369.7,126,,,,,,,,,,,,,,,1.9,4865,126737,126.737,1.4,5136,133382,1.467,4.4,6901,0.54,180134,1.0524305,0.0118718,-9.432,-9.432,1.4213211,0.0039834,-9.001,-9.001,0.0110709,-9.776,0.0019872,-8.989
23,46774,11/09/23,bgl_3m_03,B11,SAMPLE,0.43,CO2,4,1,525.4,42.4,,,,,,,,,,,,,,,6.0,5417,100544,100.544,5.7,5752,106823,1.175,10.2,7766,0.433,144203,1.0624514,0.0119849,0,0,1.4342313,0.0040196,0,0,0.0111802,0,0.0020052,0
24,46775,11/09/23,bgl_3m_04,B12,SAMPLE,0.462,N2,1,1,47.4,26.8,30.9,3427,63143,63.143,21.3,2258,41620,0.458,0.659133,0.0073564,0,0,0.0036782,0,,,,,,,,,,,,,,,,,,,,,,,,
24,46775,11/09/23,bgl_3m_04,B12,SAMPLE,0.462,N2,2,0,214.6,100.3,33.9,3874,86457,86.457,22.9,2587,57679,0.634,0.66714,0.0074458,12.148,12.148,0.0037229,12.148,,,,,,,,,,,,,,,,,,,,,,,,
